Month,B6,DL,OH,AA,CO,MQ,UA,NW,US,YV,EV
Jan-08,"4,540 ","1,275 ","1,518 ","1,068 ",103 ,667 ,445 ,154 ,172 ,81 ,
Feb-08,"4,375 ","1,238 ","1,399 ",996 ,100 ,625 ,430 ,153 ,164 ,75 ,
Mar-08,"4,928 ","1,380 ","1,372 ","1,035 ",109 ,645 ,447 ,176 ,186 ,78 ,
Apr-08,"4,690 ","1,341 ","1,230 ","1,019 ",108 ,617 ,464 ,175 ,180 ,77 ,
May-08,"4,425 ","1,422 ","1,117 ","1,043 ",107 ,639 ,463 ,182 ,186 ,79 ,
Jun-08,"4,444 ","1,434 ","1,476 ",981 ,107 ,616 ,475 ,175 ,180 ,5 ,46
Jul-08,"4,764 ","1,494 ","2,508 ","1,048 ",111 ,666 ,472 ,178 ,186 ,,76
Aug-08,"4,811 ","1,451 ","2,495 ","1,051 ",108 ,640 ,448 ,170 ,175 ,4 ,70
Sep-08,"3,886 ","1,338 ","1,446 ",936 ,29 ,616 ,383 ,150 ,147 ,33 ,2
Oct-08,"3,936 ","1,366 ","1,437 ",961 ,,605 ,395 ,155 ,147 ,35 ,
Nov-08,"3,935 ","1,306 ","1,450 ",872 ,,687 ,374 ,142 ,171 ,85 ,
Dec-08,"4,162 ","1,348 ","1,478 ",936 ,,713 ,387 ,121 ,182 ,89 ,
Total,"52,896 ","16,393 ","18,926 ","11,946 ",882 ,"7,736 ","5,183 ","1,931 ","2,076 ",641 ,194
,45%,14%,16%,10%,1%,7%,4%,2%,2%,1%,0%
